ESP_V (kV),V1,V2,run,R,Dp1,Dp2,Mobility (m2/s/V)
11.0,1203,1250,3,200.403487,40.156354,104.95495254029636,1.41091444e-07
11.0,1352,1250,3,167.379525,42.744274,104.95495254029636,1.25472561e-07
11.0,1502,1250,3,88.969146,45.211133,104.95495254029636,1.1296706e-07
11.0,1652,1250,3,57.511165,47.574886,104.95495254029636,1.02728405e-07
11.0,1802,1250,3,35.212124,49.844984,104.95495254029636,9.4191458e-08
11.0,1951,1250,3,21.647709,52.045355,104.95495254029636,8.6964523e-08
11.0,2101,1250,3,16.286404,54.172056,104.95495254029636,8.076755e-08
11.0,2251,1250,3,11.127216,56.237026,104.95495254029636,7.5395006e-08
11.0,2401,1250,3,7.870361,58.246453,104.95495254029636,7.0692631e-08
11.0,2550,1250,3,5.533923,60.205577,104.95495254029636,6.6542392e-08
11.0,2700,1250,3,4.6546,62.118885,104.95495254029636,6.2852437e-08
11.0,2850,1250,3,6.935627,63.984939,104.95495254029636,5.9550217e-08
11.0,3000,1250,3,5.273105,65.816925,104.95495254029636,5.6577669e-08
11.0,5,750,4,1.568542,2.447685,78.68725279369392,3.3946601e-05
11.0,154,750,4,1.546574,13.852126,78.68725279369392,1.096821e-06
11.0,304,750,4,1.573187,19.59787,78.68725279369392,5.57415458e-07
11.0,454,750,4,4.726428,24.094931,78.68725279369392,3.73655492e-07
11.0,604,750,4,156.0445,27.9457,78.68725279369392,2.81014912e-07
11.0,753,750,4,282.380119,31.377293,78.68725279369392,2.25184752e-07
11.0,903,750,4,264.228369,34.509366,78.68725279369392,1.87861657e-07
11.0,1053,750,4,207.43734,37.423201,78.68725279369392,1.6115168e-07
11.0,1203,750,4,122.174473,40.156354,78.68725279369392,1.41091444e-07
11.0,1352,750,4,82.157095,42.744274,78.68725279369392,1.25472561e-07
11.0,1502,750,4,49.131784,45.211133,78.68725279369392,1.1296706e-07
11.0,1652,750,4,29.011863,47.574886,78.68725279369392,1.02728405e-07
11.0,1802,750,4,21.008135,49.844984,78.68725279369392,9.4191458e-08
11.0,1951,750,4,13.248832,52.045355,78.68725279369392,8.6964523e-08
11.0,2101,750,4,12.126805,54.172056,78.68725279369392,8.076755e-08
11.0,2251,750,4,8.673764,56.237026,78.68725279369392,7.5395006e-08
11.0,2401,750,4,6.651123,58.246453,78.68725279369392,7.0692631e-08
11.0,2550,750,4,5.744616,60.205577,78.68725279369392,6.6542392e-08
11.0,2700,750,4,7.233235,62.118885,78.68725279369392,6.2852437e-08
11.0,2850,750,4,5.492911,63.984939,78.68725279369392,5.9550217e-08
11.0,3000,750,4,4.323006,65.816925,78.68725279369392,5.6577669e-08
11.0,5,4500,4,2.767875,2.447685,231.8037626546014,3.3946601e-05
11.0,154,4500,4,2.128798,13.852126,231.8037626546014,1.096821e-06
11.0,304,4500,4,2.101842,19.59787,231.8037626546014,5.57415458e-07
11.0,454,4500,4,2.472905,24.094931,231.8037626546014,3.73655492e-07
11.0,604,4500,4,3.411419,27.9457,231.8037626546014,2.81014912e-07
